method,solution,cut_value,execution_time,trial_seed,quality,graph_name,exact_optimum,schema_version
Classical SA (Metropolis),"[1, 0, 0, 1, 1, 0]",9,0.008044958114624023,2661,1.0,K6,9,1
Classical SA (Metropolis),"[1, 1, 0, 0, 0, 1]",9,0.008500814437866211,5195,1.0,K6,9,1
Classical SA (Metropolis),"[1, 1, 1, 0, 0, 0]",9,0.0084228515625,8095,1.0,K6,9,1
Classical SA (Metropolis),"[1, 0, 0, 1, 0, 1]",9,0.008286237716674805,4232,1.0,K6,9,1
Classical SA (Metropolis),"[0, 0, 1, 0, 1, 1]",9,0.008246898651123047,1146,1.0,K6,9,1
Classical SA (Metropolis),"[0, 1, 0, 1, 0, 1]",9,0.008091926574707031,3465,1.0,K6,9,1
Tabu Search,"[1, 1, 0, 1, 0, 0]",9,2.1005098819732666,1958,1.0,K6,9,1
Tabu Search,"[0, 0, 0, 1, 1, 1]",9,2.09983491897583,1470,1.0,K6,9,1
Tabu Search,"[0, 1, 1, 1, 0, 0]",9,2.100386142730713,3643,1.0,K6,9,1
Tabu Search,"[1, 1, 0, 0, 0, 1]",9,2.1003577709198,5677,1.0,K6,9,1
Tabu Search,"[0, 0, 1, 0, 1, 1]",9,2.100273847579956,8771,1.0,K6,9,1
Tabu Search,"[1, 1, 1, 0, 0, 0]",9,2.0994229316711426,4216,1.0,K6,9,1
Tabu Search,"[0, 0, 0, 1, 1, 1]",9,2.0995841026306152,8180,1.0,K6,9,1
Tabu Search,"[1, 0, 1, 0, 0, 1]",9,2.100207805633545,2157,1.0,K6,9,1
Tabu Search,"[1, 1, 1, 0, 0, 0]",9,2.1023550033569336,9628,1.0,K6,9,1
Tabu Search,"[1, 1, 0, 0, 1, 0]",9,2.1001789569854736,4712,1.0,K6,9,1
Tabu Search,"[1, 0, 0, 1, 1, 0]",9,2.1001391410827637,3427,1.0,K6,9,1
Tabu Search,"[1, 1, 0, 0, 1, 0]",9,2.100064992904663,3559,1.0,K6,9,1
Tabu Search,"[1, 1, 1, 0, 0, 0]",9,2.100493907928467,7698,1.0,K6,9,1
Tabu Search,"[1, 0, 1, 1, 0, 0]",9,2.1002490520477295,2100,1.0,K6,9,1
Tabu Search,"[0, 0, 0, 1, 1, 1]",9,2.0995540618896484,2661,1.0,K6,9,1
Tabu Search,"[1, 1, 1, 0, 0, 0]",9,2.1001789569854736,5195,1.0,K6,9,1
