circuit_type,instance,fidelity,min_eigenvalue,cnot_count,seed
spatial_padded,0,0.9713221045110287,3.0315123392798106e-13,7,546324
spatial_padded,0,0.9713221045110287,3.0315123392798106e-13,7,546324
spatial_padded,0,0.9713221045110287,3.0315123392798106e-13,7,546324
spatial_padded,0,0.9713221045110287,3.0315123392798106e-13,7,546324
spatial_padded,0,0.9713221045110287,3.0315123392798106e-13,7,546324
spatial_padded,0,0.9713221045110287,3.0315123392798106e-13,7,546324
spatial_padded,0,0.9713221045110287,3.0315123392798106e-13,7,546324
spatial_padded,0,0.9713221045110287,3.0315123392798106e-13,7,546324
spatial_padded,0,0.9713221045110287,3.0315123392798106e-13,7,546324
spatial_padded,0,0.9713221045110287,3.0315123392798106e-13,7,546324
nonspatial_sampled,0,0.9713178623319998,7.203516590365922e-11,7,546324
nonspatial_sampled,1,0.9712968191990917,8.858179068534124e-09,7,878101
nonspatial_sampled,2,0.9713010611958001,9.134589409330275e-11,7,727006
nonspatial_sampled,3,0.9713136731588288,3.627357597545553e-11,7,185527
nonspatial_sampled,4,0.9713052328953902,1.8000639339369135e-10,7,540205
nonspatial_sampled,5,0.9713094838029175,3.6491712941696234e-11,7,920900
nonspatial_sampled,6,0.9713010524132482,1.4394826408526574e-10,7,391524
nonspatial_sampled,7,0.9713052679706661,1.0808489757863872e-10,7,946565
nonspatial_sampled,8,0.9713052416595681,8.699838173120316e-09,7,289505
nonspatial_sampled,9,0.9713052680807526,7.226351709236339e-11,7,874508
random_er,0,0.971309475001765,3.693171574742736e-11,7,546324
random_er,1,0.9713221044015888,5.365879143029852e-11,7,878101
random_er,2,0.9713094837292717,8.932942486028158e-13,7,727006
random_er,3,0.9713221043283622,1.0706657899875392e-10,7,185527
random_er,4,0.9713094398346618,1.7953791459992285e-10,7,540205
random_er,5,0.9713137259283166,-4.122154213965125e-19,7,920900
random_er,6,0.9713010173014172,2.1566757045487977e-10,7,391524
random_er,7,0.9713347779534781,-8.621351351945658e-20,7,946565
random_er,8,0.9713136554836399,1.0699624364535283e-10,7,289505
random_er,9,0.9713263113781798,5.918444894832601e-13,7,874508
