gamma_ps_inv,efficiency,leakage
0.0,0.8651564291991966,-1.1102230246251565e-15
23.55,0.47144081486921546,-1.5543122344752192e-15
47.1,0.4870590075754933,1.9984014443252818e-15
70.65,0.49613302857441927,2.4424906541753444e-15
94.2,0.499380241382958,-1.3322676295501878e-15
