gamma_ps,dephase_p,efficiency,runtime_s
0.0,0.0,0.9999999999999734,0.41796088218688965
25.0,0.4647385714810097,0.9999999999999734,0.5300521850585938
50.0,0.7134952031398099,0.9999999999999689,0.5294647216796875
75.0,0.8466450331550716,0.9999999999999734,0.6057021617889404
100.0,0.9179150013761012,0.9999999999999734,0.5240130424499512
